TU_ID	Gene_name	Start	End	Strand	Expression	Gene_description
0	thrLABC	148	5020	+	100	thrLABC
1	thrL	148	310	+	100	thrL
2	talB	8191	9226	+	100	talB
3	mbiA	10643	11315	+	100	mbiA
4	mbiA	10644	11315	+	100	mbiA
5	dnaK-tpke11-dnaJ	12048	15298	+	100	dnaK-tpke11-dnaJ
6	dnaK-tpke11-dnaJ	12123	15298	+	100	dnaK-tpke11-dnaJ
7	dnaK-tpke11-dnaJ	12144	15298	+	100	dnaK-tpke11-dnaJ
8	nhaAR	17317	19620	+	100	nhaAR
9	nhaAR	17458	19620	+	100	nhaAR
10	rpsT	20771	21120	-	100	rpsT
11	rpsT	20771	21210	-	100	rpsT
12	ribF-ileS-lspA-fkpB-ispH	21383	27279	+	100	ribF-ileS-lspA-fkpB-ispH
13	ileS-lspA-fkpB-ispH	21833	27279	+	100	ileS-lspA-fkpB-ispH
14	ileS-lspA-fkpB-ispH	22034	27279	+	100	ileS-lspA-fkpB-ispH
15	ileS-lspA-fkpB-ispH	22229	27279	+	100	ileS-lspA-fkpB-ispH
16	lspA-fkpB-ispH	25014	27279	+	100	lspA-fkpB-ispH
17	dapB	28288	29272	+	100	dapB
18	dapB	28343	29272	+	100	dapB
19	carAB	29551	34120	+	100	carAB
20	carAB	29619	34120	+	100	carAB
21	carB	30775	34038	+	100	carB
22	caiF	34218	34695	+	100	caiF
23	caiTABCDE	34781	42037	-	100	caiTABCDE
24	fixABCX	42325	45750	+	100	fixABCX
25	yaaU	45592	47138	+	100	yaaU
26	folA	49799	50302	+	100	folA
27	apaGH	50380	52034	-	100	apaGH
28	rsmA-apaGH	50380	52588	-	100	rsmA-apaGH
29	lptD	54755	57156	-	100	lptD
30	lptD	54755	57241	-	100	lptD
31	lptD-surA-pdxA	52427	57336	-	100	lptD-surA-pdxA
32	rapA-rluA	59687	63358	-	100	rapA-rluA
33	rapA	60358	63588	-	100	rapA
34	polB	63429	65803	-	100	polB
35	araBAD	65800	70075	-	100	araBAD
36	araC	70241	71265	+	100	araC
37	yabI	71271	72115	+	100	yabI
38	sroA	75516	75608	-	100	sroA
39	sgrR-sroA-tbpA-thiPQ	72229	77338	-	100	sgrR-sroA-tbpA-thiPQ
40	sgrST-setA	77367	78799	+	100	sgrST-setA
41	leuLABCD	78848	83735	-	100	leuLABCD
42	leuL	83574	83735	-	100	leuL
43	leuLABCD	78848	84024	-	100	leuLABCD
44	leuO	84154	85312	+	100	leuO
45	leuO	84188	85312	+	100	leuO
46	leuO	84298	85312	+	100	leuO
47	leuO	84304	85312	+	100	leuO
48	ilvIH	85420	87848	+	100	ilvIH
49	ilvIH	85453	87848	+	100	ilvIH
50	ilvIH	85540	87848	+	100	ilvIH
51	ilvIH	85600	87848	+	100	ilvIH
52	cra	87947	89032	+	100	cra
53	mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	89596	107474	+	100	mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
54	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	90010	107474	+	100	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
55	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	90688	107474	+	100	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
56	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	91012	107474	+	100	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
57	ftsQ	102742	103985	+	100	ftsQ
58	ftsQAZ	102867	106456	+	100	ftsQAZ
59	ftsAZ	103561	106456	+	100	ftsAZ
60	ftsZ	104636	106456	+	100	ftsZ
61	ftsZ	104693	106456	+	100	ftsZ
62	ftsZ	105045	106456	+	100	ftsZ
63	lpxC	106508	107544	+	100	lpxC
64	lpxC	106530	107474	+	100	lpxC
65	ppdD-hofBC	114522	117705	-	100	ppdD-hofBC
66	nadC	117752	118663	-	100	nadC
67	ampDE	118703	120135	+	100	ampDE
68	aroP	120144	121650	-	100	aroP
69	aroP	120144	121671	-	100	aroP
70	pdhR-aceEF-lpd	122034	129394	+	100	pdhR-aceEF-lpd
71	aceEF	122969	127619	+	100	aceEF
72	lpd	127717	129394	+	100	lpd
73	acnB	131519	134272	+	100	acnB
74	acnB	131564	134212	+	100	acnB
75	yacL	134339	134750	+	100	yacL
76	yacC-speED	134756	136940	-	100	yacC-speED
77	cueO	137045	138633	+	100	cueO
78	gcd	138801	141263	-	100	gcd
79	gcd	138801	141279	-	100	gcd
80	hpt	141360	141967	+	100	hpt
81	can	142008	142703	-	100	can
82	panD	146314	146745	-	100	panD
83	panD	146314	146754	-	100	panD
84	panBC	147944	149630	-	100	panBC
85	yadV-htrE	152829	156214	-	100	yadV-htrE
86	yadV-htrE	152829	156224	-	100	yadV-htrE
87	yadV-htrE	152829	156235	-	100	yadV-htrE
88	pcnB-folK	157253	159151	-	100	pcnB-folK
89	pcnB-folK	157253	159171	-	100	pcnB-folK
90	pcnB-folK	157253	159195	-	100	pcnB-folK
91	pcnB-folK	157253	159391	-	100	pcnB-folK
92	dksA-gluQ	159186	160657	-	100	dksA-gluQ
93	dksA-gluQ	159186	160722	-	100	dksA-gluQ
94	dksA-gluQ	159186	160751	-	100	dksA-gluQ
95	sfsA-dksA	160149	161515	-	100	sfsA-dksA
96	mrcB	164721	167264	+	100	mrcB
97	fhuACDB	167442	173444	+	100	fhuACDB
98	hemL	173602	174902	-	100	hemL
99	hemL	173602	174921	-	100	hemL
100	hemL	173602	174941	-	100	hemL
101	erpA	176561	176954	+	100	erpA
102	mtn-btuF-yadS	177001	179183	-	100	mtn-btuF-yadS
103	dgt	179196	180754	+	100	dgt
104	dgt	179214	180754	+	100	dgt
105	degP	180845	182308	+	100	degP
106	cdaR	182447	183620	+	100	cdaR
107	dapD	185090	185977	-	100	dapD
108	glnD	185978	188655	-	100	glnD
109	tff-rpsB-tsf	189712	191738	+	100	tff-rpsB-tsf
110	pyrH	191812	192580	+	100	pyrH
111	frr	192814	193498	+	100	frr
112	ispU	194784	195664	+	100	ispU
113	ispU	194901	195664	+	100	ispU
114	rseP	196470	197898	+	100	rseP
115	bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	197026	208608	+	100	bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE
116	bamA	197821	200360	+	100	bamA
117	skp-lpxD-fabZ-lpxA	200455	203348	+	100	skp-lpxD-fabZ-lpxA
118	lpxD	200960	201996	+	100	lpxD
119	accA	208326	209580	+	100	accA
120	accA	208411	209580	+	100	accA
121	yaeP-rof	213678	214187	-	100	yaeP-rof
122	yaeQ-arfB-nlpE	214280	215979	+	100	yaeQ-arfB-nlpE
123	proS	217020	218837	-	100	proS
124	metNIQ	220113	222714	-	100	metNIQ
125	gmhB	222806	223408	+	100	gmhB
126	rrsH-ileV-alaV-rrlH-rrfH	223485	228875	+	100	rrsH-ileV-alaV-rrlH-rrfH
127	rrsH-ileV-alaV-rrlH-rrfH	223593	228875	+	100	rrsH-ileV-alaV-rrlH-rrfH
128	dkgB	229098	229970	+	100	dkgB
129	yafDE	231064	232549	+	100	yafDE
130	dnaQ	235934	236798	+	100	dnaQ
131	dnaQ	236017	236798	+	100	dnaQ
132	rnhA	235535	236041	-	100	rnhA
133	aspV	236913	237067	+	100	aspV
134	yafV	239419	240216	-	100	yafV
135	fadE	240859	243406	-	100	fadE
136	dinJ-yafQ	245961	246615	-	100	dinJ-yafQ
137	dinB-yafNOP	250880	253161	+	100	dinB-yafNOP
138	yafNOP	251969	253161	+	100	yafNOP
139	pepD	254259	255737	-	100	pepD
140	pepD	254259	255776	-	100	pepD
141	pepD	254259	255809	-	100	pepD
142	gpt	255914	256474	+	100	gpt
143	frsA	256502	257771	+	100	frsA
144	crl_1	257810	257907	+	100	crl_1
145	crl_1	257824	257907	+	100	crl_1
146	phoE	258269	259382	-	100	phoE
147	thrW	262065	262170	+	100	thrW
148	ykfBF-yafX-ykfGH-yafW-ykfI	262552	265382	-	100	ykfBF-yafX-ykfGH-yafW-ykfI
149	ykfBF-yafX-ykfGH-yafW-ykfI	262552	265451	-	100	ykfBF-yafX-ykfGH-yafW-ykfI
150	yafZ	266408	267250	-	100	yafZ
151	insN-1I-1O-1	269450	271479	+	100	insN-1I-1O-1
152	mhpT	374610	375894	+	100	mhpT
153	tauABCD	384429	387870	+	100	tauABCD
154	hemB	387977	388978	-	100	hemB
155	ampH	394354	395543	-	100	ampH
156	ampH	394354	395587	-	100	ampH
157	sbmA-yaiW	395777	398190	+	100	sbmA-yaiW
158	yaiZ	398678	399029	+	100	yaiZ
159	iraP	400543	400870	+	100	iraP
160	iraP	400587	400870	+	100	iraP
161	phoA-psiF	400931	402825	+	100	phoA-psiF
162	dgcC	402911	404042	+	100	dgcC
163	proC	404010	404910	-	100	proC
164	aroL-yaiA-aroM	405504	407329	+	100	aroL-yaiA-aroM
165	aroL-yaiA-aroM	405579	407329	+	100	aroL-yaiA-aroM
166	ppnP	407372	407685	+	100	ppnP
167	ykiA	407798	408174	+	100	ykiA
168	araJ	410521	411753	-	100	araJ
169	sbcDC	411831	416201	-	100	sbcDC
170	phoBR	416325	418408	+	100	phoBR
171	brnQ-proY	418712	421583	+	100	brnQ-proY
172	malZ	421719	423732	+	100	malZ
173	malZ	421719	423777	+	100	malZ
174	queA	424209	425305	+	100	queA
175	tgt-yajC	425279	427010	+	100	tgt-yajC
176	yajC-secDF	426429	429700	+	100	yajC-secDF
177	tsx	430320	431315	-	100	tsx
178	tsx	430320	431469	-	100	tsx
179	nrdR-ribDE-nusB-thiL-pgpA	432201	436331	+	100	nrdR-ribDE-nusB-thiL-pgpA
180	ribE-nusB-thiL-pgpA	433728	436331	+	100	ribE-nusB-thiL-pgpA
181	xseB-ispA-dxs-yajO	436385	440597	-	100	xseB-ispA-dxs-yajO
182	thiI	440692	442221	+	100	thiI
183	yajQ	443882	444398	+	100	yajQ
184	yajR	444526	445911	-	100	yajR
185	cyoABCDE	446039	450877	-	100	cyoABCDE
186	yajG	452781	453434	-	100	yajG
187	yajG-ampG	451294	453434	-	100	yajG-ampG
188	bolA	453573	454089	+	100	bolA
189	bolA	453658	454089	+	100	bolA
190	tig	454217	455655	+	100	tig
191	tig	454346	455655	+	100	tig
192	clpPX	455801	457979	+	100	clpPX
193	clpPX	455829	457979	+	100	clpPX
194	clpPX	455870	457979	+	100	clpPX
195	clpX-lon	456426	460466	+	100	clpX-lon
196	lon	458039	460466	+	100	lon
197	hupB	460529	460966	+	100	hupB
198	hupB	460529	461002	+	100	hupB
199	hupB	460556	460966	+	100	hupB
200	hupB	460556	461002	+	100	hupB
201	hupB	460619	460966	+	100	hupB
202	hupB	460619	461002	+	100	hupB
203	hupB	460666	460966	+	100	hupB
204	hupB	460666	461002	+	100	hupB
205	ppiD	461043	463010	+	100	ppiD
206	ppiD	461062	463010	+	100	ppiD
207	fadM	463584	464024	+	100	fadM
208	decR	467576	468065	+	100	decR
209	glnK-amtB	471780	473525	+	100	glnK-amtB
210	tesB	473525	474425	-	100	tesB
211	ylaC	478005	478512	-	100	ylaC
212	tomB-hha	479314	480018	-	100	tomB-hha
213	acrB	480478	483909	-	100	acrB
214	acrAB	480478	484922	-	100	acrAB
215	acrR	484923	485632	+	100	acrR
216	mscK	485716	489122	+	100	mscK
217	apt	490534	491187	+	100	apt
218	dnaX	491280	493247	+	100	dnaX
219	ybaB-recR	492933	494234	+	100	ybaB-recR
220	htpG	494041	496218	+	100	htpG
221	htpG	494299	496253	+	100	htpG
222	htpG	494308	496253	+	100	htpG
223	adk	496363	497043	+	100	adk
224	hemH	497255	498241	+	100	hemH
225	aes	498169	499275	-	100	aes
226	ybaL	500786	502519	-	100	ybaL
227	chiX	506428	506511	+	100	chiX
228	ybaQ	507415	507783	+	100	ybaQ
229	copA	508099	510635	-	100	copA
230	glsA-ybaT	510797	513092	+	100	glsA-ybaT
231	qmcA-ybbJ	513625	515047	-	100	qmcA-ybbJ
232	fetAB	515127	516586	+	100	fetAB
233	ybbN	516649	517714	-	100	ybbN
234	tesA-ybbO	517564	519173	-	100	tesA-ybbO
235	allS	530519	531524	-	100	allS
236	allA	531614	532157	+	100	allA
