OperonID	Genes_ID	Start	End	Strand	Expression	Genes_description
1763602	"hycA;"	2849752	2850213	-	1,19047619	"regulator of the transcriptional regulator FhlA;"
1762815	"fimZ;"	563071	563703	-	1,176935229	"DNA-binding transcriptional regulator;"
173812	"mngA;mngB;"	767528	772155	+	1,173879742	"PTS system 2-O-a-mannosyl-D-glycerate-specific transporter subunits IIABC;alpha-mannosidase;"
1762751	"yaiS;"	383283	383840	-	1,173835125	"hypothetical protein;"
1764054	"yjcS;"	4309213	4311198	-	1,166163142	"alkyl sulfatase;"
1763198	"ydfI;"	1632289	1633749	-	1,154688569	"mannonate dehydrogenase;"
1763635	"ygeF;"	2990332	2990778	+	1,142857143	"hypothetical protein;"
1762824	"nohB;"	580057	580602	+	1,141025641	"DNA packaging protein;"
174197	"ygcQ;ygcR;ygcS;"	2894697	2897648	-	1,134108982	"flavoprotein;flavoprotein;transporter;"
1763730	"tdcA;"	3267104	3268042	-	1,12886049	"DNA-binding transcriptional activator;"
1763682	"pitB;"	3134650	3136149	-	1,126666667	"phosphate transporter;"
174221	"yqeB;yqeC;"	3012392	3014835	-	1,124508833	"hypothetical protein;hypothetical protein;"
174173	"ygaQ;ygaR;"	2786175	2787212	+	1,118508655	"hypothetical protein;hypothetical protein;"
1763586	"yqaD;"	2788155	2788427	+	1,118508655	"hypothetical protein;"
1763437	"yeiL;"	2259811	2260470	+	1,110606061	"DNA-binding transcriptional activator;"
1763178	"ydeP;"	1587043	1589322	-	1,109649123	"oxidoreductase;"
1763097	"ompG;"	1384783	1385688	+	1,10816777	"outer membrane porin;"
1763731	"tdcR;"	3268357	3268575	+	1,095890411	"DNA-binding transcriptional activator;"
1763822	"yihV;"	3563168	3564064	-	1,082497213	"sugar kinase;"
1764058	"phnB;"	4331098	4331541	-	1,076576577	"hypothetical protein;"
174174	"ygaT;ygaF;gabD;gabT;"	2788763	2793793	+	1,072361114	"hypothetical protein;hypothetical protein;succinate-semialdehyde dehydrogenase I, NADP-dependent;4-aminobutyrate aminotransferase, PLP-dependent;"
1762686	"yadN;"	156299	156883	-	1,046153846	"fimbrial-like adhesin protein;"
1763918	"aldB;"	3885026	3886564	+	1,044834308	"aldehyde dehydrogenase B;"
174066	"yehL;yehM;yehP;yehQ;"	2209052	2215400	+	1,043361582	"transporter subunit;hypothetical protein;hypothetical protein;hypothetical protein;"
1764049	"yjcF;"	4286495	4287787	-	1,031709203	"hypothetical protein;"
174325	"rhaB;rhaA;"	3540355	3543080	+	1,024886622	"rhamnulokinase;L-rhamnose isomerase;"
1762830	"cusC;"	594823	596196	+	1,009461426	"copper/silver efflux system, outer membrane component;"
174116	"emrY;emrK;"	2487206	2489907	-	1,004114669	"multidrug efflux system;EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component;"
174198	"ygcU;ygcW;"	2897742	2900051	-	0,999442565	"FAD containing dehydrogenase;deoxygluconate dehydrogenase;"
1763927	"yiaB;"	3913789	3914130	+	0,994152047	"inner membrane protein;"
173935	"paaA;paaB;paaC;paaD;paaE;paaF;paaG;paaH;paaI;paaJ;paaK;"	1456763	1466274	+	0,980596301	"multicomponent oxygenase/reductase subunit for phenylacetic acid degradation;multicomponent oxygenase/reductase subunit for phenylacetic acid degradation;multicomponent oxygenase/reductase subunit for phenylacetic acid degradation;multicomponent oxygenase/reductase subunit for phenylacetic acid degradation;multicomponent oxygenase/reductase subunit for phenylacetic acid degradation;enoyl-CoA hydratase-isomerase;acyl-CoA hydratase;3-hydroxybutyryl-CoA dehydrogenase;thioesterase;beta-ketoadipyl CoA thiolase;phenylacetyl-CoA ligase;"
174259	"ebgA;ebgC;ygjI;"	3222411	3227445	+	0,980363593	"cryptic beta-D-galactosidase subunit alpha;cryptic beta-D-galactosidase subunit beta;transporter;"
1763134	"ydbD;"	1477980	1480286	+	0,979627222	"hypothetical protein;"
173841	"hcr;hcp;"	912726	915358	-	0,977616455	"HCP oxidoreductase;hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases;"
1763545	"yphG;"	2679242	2682523	-	0,975929311	"hypothetical protein;"
1762819	"ybcQ;"	573179	573562	+	0,963541667	"antitermination protein;"
1762942	"ycaK;"	951212	951802	+	0,939086294	"hypothetical protein;"
1762661	"araD;"	65855	66550	-	0,933908046	"L-ribulose-5-phosphate 4-epimerase;"
174120	"ypdD;ypdE;ypdF;ypdG;ypdH;"	2508558	2514810	-	0,925430323	"fused PTS enzymes Hpr component, enzyme I component, and enzyme IIA component;peptidase;peptidase;PTS system transporter subunit IIC;PTS system transporter subunit IIB;"
174076	"yeiM;yeiN;yeiC;"	2260541	2263752	-	0,922099335	"nucleoside transporter;hypothetical protein;kinase;"
1763681	"yghT;"	3133909	3134601	+	0,909090909	"hypothetical protein;"
174053	"wzxC;wcaJ;cpsG;cpsB;wcaI;nudD;fcl;gmd;wcaF;wcaE;"	2121939	2132909	-	0,906636315	"colanic acid exporter;UDP-glucose lipid carrier transferase;phosphomannomutase;mannose-1-phosphate guanyltransferase;glycosyl transferase;GDP-mannose mannosyl hydrolase;bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase/GDP-4-dehydro-6-L-deoxygalactose reductase;GDP-D-mannose dehydratase;acyl transferase;glycosyl transferase;"
1763176	"ydeN;"	1583678	1585360	-	0,899584076	"hypothetical protein;"
173860	"hyaA;hyaB;hyaC;hyaD;hyaE;hyaF;"	1033683	1039150	+	0,897518904	"hydrogenase 1, small subunit;hydrogenase 1, large subunit;hydrogenase 1, b-type cytochrome subunit;protein involved in processing of HyaA and HyaB proteins;protein involved in processing of HyaA and HyaB proteins;protein involved in nickel incorporation into hydrogenase-1 proteins;"
1764069	"cadB;"	4364497	4365831	-	0,897378277	"lysine/cadaverine transporter;"
173961	"ynfO;ydfO;"	1639592	1640293	+	0,889543952	"hypothetical protein;hypothetical protein;"
173985	"ydiN;ydiB;aroD;"	1775348	1778280	+	0,887655868	"transporter;quinate/shikimate 5-dehydrogenase;3-dehydroquinate dehydratase;"
1763917	"yiaY;"	3883710	3884861	+	0,885416667	"Fe-containing alcohol dehydrogenase;"
1763123	"ompN;"	1438596	1439729	-	0,874779541	"outer membrane pore protein N, non-specific;"
1762822	"ybcV;"	578407	578817	-	0,868613139	"hypothetical protein;"
173976	"uidC;uidB;uidA;"	1694422	1698907	-	0,864404072	"outer membrane porin protein;glucuronide transporter;beta-D-glucuronidase;"
173944	"yncG;yncH;"	1529083	1529988	+	0,862243038	"hypothetical protein;hypothetical protein;"
1763733	"yhaC;"	3269392	3270579	+	0,858585859	"hypothetical protein;"
1763471	"yfbN;"	2393502	2394218	-	0,850767085	"hypothetical protein;"
1763315	"yeaU;"	1884748	1885833	+	0,847145488	"dehydrogenase;"
1763643	"ygfU;"	3031145	3032593	+	0,841269841	"transporter;"
1763015	"ycfT;"	1176791	1177864	-	0,832402235	"inner membrane protein;"
173960	"tfaQ;stfQ;nohA;"	1637146	1639203	-	0,822336488	"tail fiber assembly protein;side tail fiber assembly protein;packaging protein;"
174087	"atoD;atoA;atoE;atoB;"	2329239	2333085	+	0,818615621	"acetyl-CoA:acetoacetyl-CoA transferase subunit alpha;acetyl-CoA:acetoacetyl-CoA transferase subunit beta;short chain fatty acid transporter;acetyl-CoA acetyltransferase;"
174064	"yehA;yehB;yehC;yehD;"	2191836	2196678	-	0,817517459	"fimbrial-like adhesin protein;outer membrane protein;periplasmic pilin chaperone;fimbrial-like adhesin protein;"
1763179	"ydeQ;"	1589656	1590570	-	0,797814208	"fimbrial-like adhesin protein;"
1763499	"yfdX;"	2500335	2500970	-	0,79245283	"hypothetical protein;"
1763267	"ydiP;"	1781226	1782137	-	0,791666667	"DNA-binding transcriptional regulator;"
1763265	"ydiL;"	1773451	1773807	+	0,784313725	"hypothetical protein;"
1763207	"rem;"	1647487	1647738	-	0,76984127	"hypothetical protein;"
173868	"ycdG;ycdH;ycdI;rarA;ycdK;ycdL;ycdM;"	1070055	1075555	-	0,758192855	"transporter;oxidoreductase, flavin:NADH component;oxidoreductase;hydrolase;hypothetical protein;hypothetical protein;monooxygenase;"
173911	"yciE;yciF;"	1317554	1318606	-	0,752695792	"hypothetical protein;hypothetical protein;"
173967	"dicB;ydfD;"	1652445	1652821	+	0,749710649	"cell division inhibition protein;hypothetical protein;"
174118	"yfdV;oxc;frc;"	2495810	2499822	-	0,748284306	"transporter;oxalyl-CoA decarboxylase;formyl-CoA transferase;"
1763306	"yeaI;"	1873221	1874696	+	0,738482385	"diguanylate cyclase;"
1763436	"rihB;"	2258701	2259642	-	0,737791932	"ribonucleoside hydrolase 2;"
1762979	"yccE;"	1065580	1066836	+	0,731901352	"hypothetical protein;"
1763638	"ygeI;"	2993416	2993634	+	0,730593607	"hypothetical protein;"
173897	"ymgH;ycgI;"	1226164	1226606	+	0,712209302	"hypothetical protein;hypothetical protein;"
1763823	"yihR;"	3567402	3568328	+	0,682847896	"aldose-1-epimerase;"
174055	"wzc;wzb;wza;"	2136749	2140502	-	0,680661299	"protein-tyrosine kinase;protein-tyrosine phosphatase;lipoprotein required for capsular polysaccharide translocation through the outer membrane;"
174453	"yjbL;yjbM;"	4265033	4266018	+	0,676744766	"hypothetical protein;hypothetical protein;"
1763427	"yohH;"	2233005	2233142	-	0,675487465	"hypothetical protein;"
174054	"wcaD;wcaC;wcaB;wcaA;"	2132920	2136656	-	0,647632836	"colanic acid polymerase;glycosyl transferase;acyl transferase;glycosyl transferase;"
173778	"ybcN;ninE;ybcO;rusA;ylcG;"	571689	573093	+	0,646723833	"hypothetical protein;hypothetical protein;hypothetical protein;endonuclease RUS;hypothetical protein;"
173666	"fixA;fixB;fixC;fixX;yaaU;"	42403	47138	+	0,641444724	"electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain;electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like;oxidoreductase;4Fe-4S ferredoxin-type protein;transporter;"
173770	"glxR;ybbW;allB;ybbY;glxK;"	535810	542257	+	0,625675378	"tartronate semialdehyde reductase;allantoin transporter;allantoinase;uracil/xanthine transporter;glycerate kinase II;"
1763192	"ydeI;"	1626941	1627333	-	0,610687023	"hypothetical protein;"
1762878	"ybfD;"	739636	740397	+	0,598425197	"hypothetical protein;"
173769	"gcl;hyi;"	533140	535710	+	0,575514909	"glyoxylate carboligase;hydroxypyruvate isomerase;"
173933	"stfR;tfaR;"	1431885	1435822	+	0,534454295	"tail fiber protein;tail fiber assembly protein;"
1763266	"ydiM;"	1773907	1775121	+	0,526748971	"transporter;"
1763584	"ypjB;"	2783416	2784207	-	0,524017467	"hypothetical protein;"
1763585	"ypjC;"	2784307	2784789	-	0,524017467	"hypothetical protein;"
174462	"phnD;phnC;"	4329136	4330965	-	0,510881554	"phosphonate/organophosphate ester transporter subunit;phosphonate/organophosphate ester transporter subunit;"
173999	"ydjG;ydjH;ydjI;ydjJ;ydjK;ydjL;"	1857827	1864168	-	0,510665463	"oxidoreductase;kinase;aldolase;oxidoreductase;transporter;oxidoreductase;"
