Interval type	Start	End	BIME len	Cfx (number of GCSs)	RifCfx (number of GCSs)	Micro (number of GCSs)	Oxo (number of GCSs)	Sum
BIMEs1	759954	760071	117	1	0	0	1	2
BIMEs1	3867202	3867300	98	1	0	0	1	2
BIMEs1	1137286	1137383	97	1	0	0	0	1
BIMEs1	2556035	2556132	97	0	0	0	1	1
BIMEs1	3653479	3653582	103	0	0	0	1	1
BIMEs1	3990725	3990824	99	0	1	0	0	1
BIMEs1	5566	5670	104	0	0	0	0	0
BIMEs1	111431	111630	199	0	0	0	0	0
BIMEs1	138700	138797	97	0	0	0	0	0
BIMEs1	216028	216138	110	0	0	0	0	0
BIMEs1	489184	489281	97	0	0	0	0	0
BIMEs1	542312	542408	96	0	0	0	0	0
BIMEs1	609341	609438	97	0	0	0	0	0
BIMEs1	700970	701067	97	0	0	0	0	0
BIMEs1	709315	709479	164	0	0	0	0	0
BIMEs1	716809	716906	97	0	0	0	0	0
BIMEs1	742499	742604	105	0	0	0	0	0
BIMEs1	772220	772318	98	0	0	0	0	0
BIMEs1	817130	817226	96	0	0	0	0	0
BIMEs1	833834	833931	97	0	0	0	0	0
BIMEs1	847176	847274	98	0	0	0	0	0
BIMEs1	859161	859258	97	0	0	0	0	0
BIMEs1	901241	901338	97	0	0	0	0	0
BIMEs1	985906	986003	97	0	0	0	0	0
BIMEs1	1069899	1069996	97	0	0	0	0	0
BIMEs1	1116117	1116214	97	0	0	0	0	0
BIMEs1	1183054	1183149	95	0	0	0	0	0
BIMEs1	1369670	1369750	80	0	0	0	0	0
BIMEs1	1554908	1555004	96	0	0	0	0	0
BIMEs1	1554908	1555004	96	0	0	0	0	0
BIMEs1	1694262	1694358	96	0	0	0	0	0
BIMEs1	1819022	1819210	188	0	0	0	0	0
BIMEs1	1826168	1826265	97	0	0	0	0	0
BIMEs1	1957266	1957363	97	0	0	0	0	0
BIMEs1	2005228	2005326	98	0	0	0	0	0
BIMEs1	2257253	2257343	90	0	0	0	0	0
BIMEs1	2295610	2295808	198	0	0	0	0	0
BIMEs1	2321291	2321487	196	0	0	0	0	0
BIMEs1	2545104	2545201	97	0	0	0	0	0
BIMEs1	2654749	2654845	96	0	0	0	0	0
BIMEs1	2683896	2683993	97	0	0	0	0	0
BIMEs1	2714062	2714159	97	0	0	0	0	0
BIMEs1	2917667	2917761	94	0	0	0	0	0
BIMEs1	2945675	2945771	96	0	0	0	0	0
BIMEs1	3012180	3012383	203	0	0	0	0	0
BIMEs1	3069782	3069879	97	0	0	0	0	0
BIMEs1	3150333	3150587	254	0	0	0	0	0
BIMEs1	3251844	3251941	97	0	0	0	0	0
BIMEs1	3270700	3270797	97	0	0	0	0	0
BIMEs1	3331438	3331535	97	0	0	0	0	0
BIMEs1	3361666	3361764	98	0	0	0	0	0
BIMEs1	3499916	3500013	97	0	0	0	0	0
BIMEs1	3509754	3509850	96	0	0	0	0	0
BIMEs1	3529134	3529231	97	0	0	0	0	0
BIMEs1	3587691	3587769	78	0	0	0	0	0
BIMEs1	3637550	3637652	102	0	0	0	0	0
BIMEs1	3763853	3763950	97	0	0	0	0	0
BIMEs1	3814120	3814198	78	0	0	0	0	0
BIMEs1	3900475	3900572	97	0	0	0	0	0
BIMEs1	3935476	3935573	97	0	0	0	0	0
BIMEs1	3965255	3965415	160	0	0	0	0	0
BIMEs1	4002230	4002327	97	0	0	0	0	0
BIMEs1	4015866	4015947	81	0	0	0	0	0
BIMEs1	4043041	4043139	98	0	0	0	0	0
BIMEs1	4048874	4048972	98	0	0	0	0	0
BIMEs1	4077857	4077954	97	0	0	0	0	0
BIMEs1	4115962	4116059	97	0	0	0	0	0
BIMEs1	4258614	4258743	129	0	0	0	0	0
BIMEs1	4271601	4271697	96	0	0	0	0	0
BIMEs1	4300548	4301034	486	0	0	0	0	0
BIMEs1	4350616	4350710	94	0	0	0	0	0
BIMEs1	4379000	4379098	98	0	0	0	0	0
BIMEs1	4380301	4380399	98	0	0	0	0	0
BIMEs1	4414956	4415053	97	0	0	0	0	0
BIMEs1	4447196	4447293	97	0	0	0	0	0
BIMEs1	4476184	4476271	87	0	0	0	0	0
BIMEs1	4575749	4575847	98	0	0	0	0	0
BIMEs1	4634498	4634647	149	0	0	0	0	0
