GeneID	Gene_name	Start	End	Strand	Expression	Gene_description	OperonID
Y75_s0046	rdlD	3941338	3941401	-	1501,727273	-	1764325
Y75_p3469	rnpA	3756685	3757044	-	1070,358333	protein C5 component of RNase P	174363
Y75_p2539	yfiM	2723957	2724229	+	1010,780864	hypothetical protein	1763562
Y75_p3095	secG	3323150	3323482	-	986,7417417	preprotein translocase membrane subunit	1763749
Y75_p3408	ilvL	3687383	3687481	-	985,040404	ilv operon leader peptide	1763862
Y75_p0962	cspG	1053005	1053217	+	980,3239437	DNA-binding transcriptional regulator	1762974
Y75_p3105	rpmA	3333839	3334096	-	975,9651163	50S ribosomal protein L27	174284
Y75_p3878	rpsM	4199067	4199423	+	941,9551821	30S ribosomal protein S13	174443
Y75_p0001	thrL	190	255	+	941,3181818	thr operon leader peptide	173653
Y75_p3880	rpsD	4199863	4200483	+	866,3510467	30S ribosomal protein S4	174443
Y75_p1652	lpp	1760257	1760493	+	847,5021097	murein lipoprotein	1763262
Y75_p3868	rplE	4194100	4194639	+	843,9759259	50S ribosomal protein L5	174442
Y75_p3866	rplN	4193389	4193760	+	833,688172	50S ribosomal protein L14	174442
Y75_p3632	dppA	3933832	3935439	+	815,2686567	dipeptide transporter	1763939
Y75_p3881	rpoA	4200509	4201498	+	784,1141414	RNA polymerase subunit alpha	174443
Y75_p3870	rpsH	4194993	4195385	+	749,7888041	30S ribosomal protein S8	174442
Y75_p3867	rplX	4193771	4194085	+	728,415873	50S ribosomal protein L24	174442
Y75_p0963	ymcE	1053391	1053621	+	692,4329004	cold shock gene	173864
Y75_p1533	cspB	1644175	1644390	-	678,6527778	cold shock protein	1763205
Y75_p3860	rpsS	4191012	4191290	+	670,1684588	30S ribosomal protein S19	174441
Y75_p3882	rplQ	4201539	4201922	+	669,8203125	50S ribosomal protein L17	174443
Y75_p3876	secY	4197441	4198772	+	650,9684685	preprotein translocase membrane subunit	174442
Y75_p3879	rpsK	4199440	4199829	+	621,2333333	30S ribosomal protein S11	174443
Y75_p0023	rpsT	20815	21078	-	616,0265152	30S ribosomal protein S20	1762655
Y75_p3869	rpsN	4194654	4194959	+	602,2058824	30S ribosomal protein S14	174442
Y75_p3877	rpmJ	4198804	4198920	+	574,4444444	50S ribosomal protein L36	174442
Y75_p3470	rpmH	3757061	3757201	-	569,8085106	50S ribosomal protein L34	174363
Y75_p2991	rpsU	3210559	3210774	+	563,2222222	30S ribosomal protein S21	1763707
Y75_p3872	rplR	4195941	4196294	+	555,4858757	50S ribosomal protein L18	174442
Y75_p0701	sdhC	756721	757110	+	551,8974359	succinate dehydrogenase, membrane subunit, binds cytochrome b556	173809
Y75_p3837	tufA	4170209	4171393	+	545,7983122	protein chain elongation factor EF-Tu	174438
Y75_p3874	rpmD	4196816	4196995	+	540,8777778	50S ribosomal protein L30	174442
Y75_p3537	rpmB	3829863	3830099	+	534,7257384	50S ribosomal protein L28	174376
Y75_p3211	rplL	3456878	3457243	-	530,3032787	50S ribosomal protein L7/L12	1763782
Y75_p3855	rpsJ	4188268	4188579	+	529,2596154	30S ribosomal protein S10	174441
Y75_p3865	rpsQ	4192970	4193224	+	524,9764706	30S ribosomal protein S17	174441
Y75_p3212	rplJ	3457310	3457807	-	518,1285141	50S ribosomal protein L10	1763783
Y75_p3106	rplU	3334117	3334428	-	515,8942308	50S ribosomal protein L21	174284
Y75_p3835	rpsG	4167457	4167996	+	514,9740741	30S ribosomal protein S7	174438
Y75_p3085	nlpI	3309017	3309901	-	503,2519774	hypothetical protein	1763744
Y75_p2540	kgtP	2724226	2725524	-	495,7482679	alpha-ketoglutarate transporter	1763563
Y75_p3871	rplF	4195398	4195931	+	485,0580524	50S ribosomal protein L6	174442
Y75_p3873	rpsE	4196309	4196812	+	481,702381	30S ribosomal protein S5	174442
Y75_p3633	dppB	3935747	3936766	+	478,8764706	dipeptide transporter	174398
Y75_p4087	priB	4431322	4431636	+	476,6190476	primosomal protein N	174480
Y75_p4088	rpsR	4431641	4431868	+	469,1798246	30S ribosomal protein S18	174480
Y75_p3214	rplK	3458928	3459356	-	460,7109557	50S ribosomal protein L11	174310
Y75_p3634	dppC	3936776	3937678	+	453,6267996	dipeptide transporter	174398
Y75_p0095	lpxC	106557	107474	+	441,6655773	UDP-3-O-acyl N-acetylglucosamine deacetylase	1762667
Y75_p3861	rplV	4191305	4191637	+	439,4534535	50S ribosomal protein L22	174441
Y75_p0613	cspE	658836	659045	+	424,552381	DNA-binding transcriptional repressor	1762854
Y75_p3538	rpmG	3830120	3830287	+	422,8035714	50S ribosomal protein L33	174376
Y75_p3857	rplD	4189252	4189857	+	414,179868	50S ribosomal protein L4	174441
Y75_p3875	rplO	4196999	4197433	+	413,4252874	50S ribosomal protein L15	174442
Y75_p3468	yidD	3756464	3756721	-	403,372093	hypothetical protein	174363
Y75_p3618	insK	3919488	3920339	-	394,6866197	IS150 protein InsB	174395
Y75_p3432	atpF	3716915	3717385	+	391,0955414	F0 sector of membrane-bound ATP synthase, subunit b	174355
Y75_p3150	rpsI	3378792	3379184	-	386,0534351	30S ribosomal protein S9	174295
Y75_p3433	atpH	3717400	3717933	+	373,2191011	F1 sector of membrane-bound ATP synthase subunit delta	174355
Y75_p0929	ompA	1020557	1021597	-	370,1988473	"outer membrane protein A (3a;II*;G;d)"	1762962
Y75_p3856	rplC	4188612	4189241	+	369,0793651	50S ribosomal protein L3	174441
Y75_p3834	rpsL	4166986	4167360	+	366,4826667	30S ribosomal protein S12	174438
Y75_p3431	atpE	3716614	3716853	+	362,6375	F0 sector of membrane-bound ATP synthase, subunit c	174354
Y75_p3859	rplB	4190174	4190995	+	348,9647202	50S ribosomal protein L2	174441
Y75_p3858	rplW	4189854	4190156	+	346,8514851	50S ribosomal protein L23	174441
Y75_p3751	glpD	4078019	4079524	-	341,8486056	sn-glycerol-3-phosphate dehydrogenase, aerobic	1763988
Y75_p3862	rpsC	4191655	4192356	+	341,5968661	30S ribosomal protein S3	174441
Y75_p3836	fusA	4168024	4170138	+	341,2368794	protein chain elongation factor EF-G	174438
Y75_p1060	plsX	1150320	1151390	+	339,6321195	fatty acid/phospholipid synthesis protein	173885
Y75_p3502	ivbL	3788549	3788647	+	335,3838384	ilvB operon leader peptide	174370
Y75_p4086	rpsF	4430920	4431315	+	329,0429293	30S ribosomal protein S6	174480
Y75_p3864	rpmC	4192779	4192970	+	328,6822917	50S ribosomal protein L29	174441
Y75_p1064	acpP	1154314	1154550	+	323,3670886	acyl carrier protein	1763005
Y75_p3195	yjaH	3436542	3437237	-	321,7974138	hypothetical protein	174306
Y75_p3217	tufB	3460675	3461859	-	316,3400844	protein chain elongation factor EF-Tu	1764299
Y75_p1059	rpmF	1150066	1150239	+	315,454023	50S ribosomal protein L32	173885
Y75_p0704	sdhB	759233	759949	+	312,3514644	succinate dehydrogenase, FeS subunit	173809
Y75_p2620	proV	2804593	2805795	+	308,273483	glycine betaine transporter subunit	174179
Y75_p1217	oppA	1304018	1305649	+	305,1672794	oligopeptide transporter subunit	173908
Y75_p3619	insJ	3920336	3920857	-	304,1264368	IS150 protein InsA	174395
Y75_p1693	infC	1802932	1803474	-	303,2467772	protein chain initiation factor IF-3	173992
Y75_p2144	yejG	2282349	2282693	-	296,4492754	hypothetical protein	1763443
Y75_p2554	rplS	2743961	2744308	-	296,3764368	50S ribosomal protein L19	174165
Y75_p3430	atpB	3715752	3716567	+	294,3394608	F0 sector of membrane-bound ATP synthase, subunit a	174354
Y75_p3213	rplA	3458220	3458924	-	293,8595745	50S ribosomal protein L1	174310
Y75_p3151	rplM	3379200	3379628	-	292,4825175	50S ribosomal protein L13	174295
Y75_p3087	rpsO	3312392	3312661	-	292,3814815	30S ribosomal protein S15	1763746
Y75_p3273	cpxP	3531483	3531983	-	291,1057884	hypothetical protein	1763812
Y75_p1058	yceD	1149493	1150014	+	283,0344828	hypothetical protein	173885
Y75_p3635	dppD	3937689	3938672	+	281,3993902	dipeptide transporter	174398
Y75_p1691	rplT	1802229	1802585	-	279,4285714	50S ribosomal protein L20	173991
Y75_p1692	rpmI	1802638	1802835	-	279,030303	50S ribosomal protein L35	1763272
Y75_p4089	rplI	4431910	4432359	+	278,84	50S ribosomal protein L9	174480
Y75_p3092	yhbC	3318531	3318983	-	262,5960265	hypothetical protein	174281
Y75_p3863	rplP	4192369	4192779	+	262,3187348	50S ribosomal protein L16	174441
Y75_p2557	rpsP	2745715	2745963	-	259,746988	30S ribosomal protein S16	174165
Y75_p3394	trxA	3671713	3672042	-	258,6969697	thioredoxin 1	1763854
Y75_p3429	atpI	3715363	3715743	+	258,2729659	ATP synthase, membrane-bound accesory subunit	174354
Y75_p3717	rpoH	4040754	4041608	+	257,2760234	RNA polymerase, sigma 32 (sigma H) factor	1763975
Y75_p1690	pheM	1802062	1802106	-	255,0444444	phenylalanyl-tRNA synthetase operon leader peptide	173991
Y75_p2556	rimM	2745148	2745696	-	254,1967213	16S rRNA processing protein	174165
Y75_p2176	ompC	2316102	2317205	-	252,8813406	outer membrane porin protein C	1763452
Y75_p3435	atpG	3719538	3720401	+	251,4560185	F1 sector of membrane-bound ATP synthase subunit gamma	174355
Y75_p2532	yfiD	2715844	2716227	-	247,9453125	pyruvate formate lyase subunit	1763557
Y75_p0703	sdhA	757451	759217	+	239,9734012	succinate dehydrogenase, flavoprotein subunit	173809
Y75_p0702	sdhD	757104	757451	+	235,6408046	succinate dehydrogenase, membrane subunit, binds cytochrome b556	173809
Y75_p1311	fnr	1401610	1402362	-	235,4966799	DNA-binding transcriptional dual regulator	1763109
Y75_p1801	yobG	1911459	1911602	-	234,0138889	hypothetical protein	1763327
Y75_p3818	crp	4154786	4155418	-	231,9194313	DNA-binding transcriptional dual regulator	174434
Y75_p3437	atpC	3721831	3722250	+	231,7238095	F1 sector of membrane-bound ATP synthase subunit epsilon	174355
Y75_p2555	trmD	2744350	2745117	-	230,5390625	tRNA (guanine-1-)-methyltransferase	174165
Y75_p2457	yfgG	2629068	2629259	+	229,0885417	hypothetical protein	1763531
Y75_p1218	oppB	1305735	1306655	+	227,7893594	oligopeptide transporter subunit	173908
Y75_p2526	rpoE	2709215	2709790	-	225,4375	RNA polymerase, sigma 24 (sigma E) factor	174159
Y75_p3100	yhbY	3328767	3329060	+	224,7210884	RNA-binding protein	1763751
Y75_p0961	cspH	1052507	1052719	-	222,6478873	stress protein, member of the CspA-family	1762973
Y75_p1799	yobF	1910284	1910427	-	222,1666667	hypothetical protein	174009
Y75_p0110	pdhR	122092	122856	+	220,1228758	DNA-binding transcriptional dual regulator	1762672
Y75_p2138	spr	2274435	2275001	+	219,5308642	peptidase, outer membrane lipoprotein	1763442
Y75_p0469	ybaP	506510	507304	-	216,5169811	hypothetical protein	1762805
Y75_p3128	mtgA	3350058	3350786	-	216,2647462	biosynthetic peptidoglycan transglycosylase	174289
Y75_p3750	yzgL	4077532	4077813	+	211,826484	hypothetical protein	1763987
Y75_p2148	rplY	2286973	2287257	+	209,877193	50S ribosomal protein L25	1763445
Y75_p3434	atpA	3717946	3719487	+	209,1757458	F1 sector of membrane-bound ATP synthase subunit alpha	174355
Y75_p3605	bax	3904360	3905184	+	206,3212121	hypothetical protein	1763923
Y75_p0705	sucA	760250	763051	+	201,8586724	2-oxoglutarate decarboxylase, thiamin-requiring	173810
Y75_p0787	ompX	851994	852509	+	197,2403101	outer membrane protein	1762907
Y75_p1309	ynaJ	1400201	1400458	+	196,2596899	inner membrane protein	1763107
Y75_p2541	clpB	2731378	2733951	-	194,1188811	protein disaggregation chaperone	1763564
Y75_p4253	yjjZ	4611606	4611842	+	193,9915612	hypothetical protein	1764171
Y75_p4058	hfq	4406090	4406398	+	193,4271845	HF-I, host factor for RNA phage Q beta replication	1764086
Y75_p0113	lpd	127912	129336	+	192,082807	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	1762673
Y75_p4064	yjeB	4411992	4412417	+	187,3920188	DNA-binding transcriptional regulator	174477
Y75_p3419	rbsD	3704033	3704452	-	184,8333333	cytoplasmic sugar-binding protein	174351
Y75_p1798	cspC	1910062	1910271	-	184,1428571	stress protein, member of the CspA-family	174009
Y75_p1204	tpr	1289786	1289887	-	183,9888889	protamine-like protein	1763068
Y75_p2525	rseA	2708532	2709182	-	180,5637481	anti-sigma factor	174159
Y75_p3425	mioC	3711348	3711791	+	180,4009009	FMN-binding protein MioC	1763869
Y75_p3998	proP	4336302	4337804	+	180,3992016	proline/glycine betaine transporter	1764060
