GCSs_coordinate	N3E	Score
1465	8.93367648805	5.4736893
1831	9.47308592988	-0.21850514999999993
8246	6.21431492425	4.3509065
15293	8.72087142065	1.297723885
20104	32.259830076	9.9664825
25536	8.80454217414	3.72223025
32858	8.46813850261	9.03977175
48976	13.7065394704	5.831336500000001
67877	19.2131058741	6.962276
67889	13.1675291043	4.3708266
93257	16.9485028716	6.5299257
103637	18.2996470795	6.140969350000001
107114	13.3119805328	1.4561753
110434	15.928349567	3.6102712
110445	37.6049975263	3.6650186000000002
112305	11.1577219932	2.71315625
114608	10.2033364019	5.78291735
114609	22.0009291205	0.602405935
115098	9.71057770477	3.3309531999999997
115446	5.9453111295	0.23132884999999992
115942	5.56735498191	3.1767472999999997
118899	18.6907490701	5.7273435
120328	16.7338394083	1.498825815
120961	6.4894761655	2.15238725
141151	58.3291950123	4.2676463
146109	8.89888313055	3.7473264
147220	16.9071807172	-1.143405835
167584	6.78479280163	6.3703439
171633	6.8979922626	4.8304073
172487	9.69852278663	5.834611799999999
173206	7.85269949092	4.3965489
182043	9.85994432032	4.732452
185617	9.62727598952	4.9055190500000005
187491	31.0454939425	6.3835044
187719	6.37806498797	7.057635149999999
208865	7.34523183051	0.86074078
210136	10.6411353625	10.338736
212731	9.24694033324	3.4606267500000003
217448	8.19681962139	5.59804845
228897	8.36354182575	4.8278428
229747	11.0389965891	1.59955745
230015	16.9699267803	3.2499088
231796	13.1991530295	6.7620747
233127	9.88523046409	5.4986242999999995
235575	8.15382612835	6.221553350000001
235595	13.5612105747	0.054954235000000004
235803	5.47358853124	3.76945965
235840	7.7510819726	2.5863043
241324	6.37564925335	3.2189710500000004
247163	12.2173598029	3.6611179
248857	10.1292221457	4.1925317
250138	11.6550225755	6.514398549999999
265037	16.0447231013	7.37465675
265038	7.9682442277	7.734546999999999
314937	9.36567389036	6.8969631
391698	8.99852729665	6.8969631
403869	10.0767287827	4.281886999999999
404834	11.4108746038	4.24590225
423306	18.5462949557	5.6372709
428797	11.043027952	1.166876965
435663	11.2043087639	7.8908421
436519	12.9919011694	8.88832265
436893	10.6060525621	2.46339155
439676	10.6558963325	1.9785408500000001
445578	6.01286198755	10.173790499999999
457083	17.3171426681	7.48403315
462319	16.929267395	7.8174618
462408	10.4898983764	3.4587921
465740	7.85737680472	2.10434805
466182	10.5425377512	5.45875635
469474	9.2679424115	8.280841500000001
469475	12.8519745307	2.541632315
472488	11.3714557514	4.8417693
472489	7.79374972656	-1.12369735
472658	30.9480394629	4.95205565
480497	24.8833919898	7.85244
493765	12.0043338775	11.550984499999998
497674	16.3431876137	2.2575965
497762	13.8701256077	5.1648935
498529	11.5287835691	6.671909299999999
501742	7.59778962874	3.92874525
501802	17.670778591	7.7301962
508674	18.0178377047	3.67776775
554816	11.9706726145	3.2428735499999997
554828	12.9761479697	2.790740465
566487	10.7563453335	6.8969631
572092	10.0037751609	2.5430572
594998	6.81834449052	3.9902017499999998
602333	14.4740580155	2.97787235
611071	11.4207825062	9.0890005
620310	9.74249809717	3.6703067999999996
633170	10.4041190436	6.926534999999999
638517	6.85205058792	4.15351645
640954	8.91215134951	0.03224773
641960	10.5303903041	1.9219843
657708	7.06867292251	8.7998855
657709	321.393988899	13.3289035
657713	7.06867292251	-1.9454048000000004
661594	17.8417241843	2.84853195
691412	6.49838875547	3.1098977000000003
707663	8.8663845932	0.14667155050000003
708502	10.1448827315	2.84805015
709188	9.04520551182	-0.273120175
730187	23.2698711609	7.6523535
741828	10.2260883827	8.033198500000001
750642	19.4009751406	5.14375055
759910	7.62039078061	3.1644605500000003
782855	10.1169965984	5.81337365
784580	6.45800555317	0.776378125
784583	13.2734006032	-0.12549095500000002
786767	10.5286592761	7.5271475
787713	8.90748789121	4.0921313
815625	5.13809496981	4.42815805
817472	34.7847229109	0.5206203199999999
821494	9.91737342526	2.2559435
826396	8.92561849072	5.5967143
831772	6.46707485825	6.865417
838480	10.6296626355	1.7119084
842337	15.2333611198	2.8086621999999997
845756	15.0806517284	2.3849078
852816	19.952902065	3.15557795
861982	12.6143733475	-1.5371926
866124	8.6619245495	5.4282737999999995
872183	10.0023718854	7.838157
882558	7.45445314625	1.80292578
884213	12.7002126949	-0.05437049999999999
886093	8.36114784762	1.2719608500000001
902396	6.5982752016	6.3897782
903952	9.84722781998	5.9570396
927507	10.5808972154	6.34028325
928896	9.05124364685	3.816545
929999	7.2877465448	0.5503065
937021	5.96457706643	6.49868655
938735	6.84825325338	4.515769
942763	30.2400484185	8.64178615
943040	9.06222975487	2.62732995
943108	7.64569627793	4.081583350000001
946604	23.1733705552	1.1419705
949747	21.2926052172	3.9799754499999995
952612	7.2952169563	4.8086305
967710	34.1702493821	0.9064291999999999
973832	14.2015304928	4.51062645
979391	9.01207755294	4.9265395000000005
979949	7.65734991024	3.5879204
980978	10.2188684116	4.8956555
982715	8.80728067507	4.6125117499999995
984523	15.2944862463	5.3780134
986526	11.559639676	1.44957115
1002760	11.7260695872	6.3133576
1007952	10.3632072375	2.6219289999999997
1015556	10.8374969571	-2.52486095
1016815	19.781958647	1.0401183
1018967	12.5763471615	2.663157
1019198	20.1684882695	-4.2912308
1019629	9.21177973459	3.796315
1020169	20.4061022763	4.651216
1020298	6.02601725833	3.3617736999999996
1020634	8.3045919122	3.6564531999999996
1025104	6.31427115661	2.118203
1051776	11.8465160061	9.8885945
1051787	8.21449663887	11.088530500000001
1076143	5.28080041137	2.73122205
1082089	14.5652435576	6.6220502
1083854	15.4333932378	2.6324221999999997
1083855	15.9631735911	-1.007670135
1096554	10.7492745743	6.8969631
1100994	7.91273672264	5.7092056499999995
1102768	7.81037406144	3.4960401
1114749	16.5152716595	7.940841
1117400	10.014048454	1.5895381
1119678	13.5388667646	10.1544305
1122919	15.4835100178	7.4461993500000005
1141234	7.50339996648	4.78729115
1143881	11.6196686967	0.139611029
1169380	24.1357838928	4.63770795
1172539	125.622176643	6.1476513
1172540	16.066528521	5.28731965
1185231	11.6807454481	1.9859547800000001
1186186	8.98690747098	-2.9331879499999998
1198762	5.42830324542	0.047080299999999964
1215986	7.35567227492	4.01752075
1235913	11.1679392088	6.6079304
1248684	10.2499995107	6.5069995
1249117	18.6833597886	4.717728
1271261	9.7269706638	4.93221585
1298070	8.87524659722	6.25854265
1309475	16.5757501595	3.4008615000000004
1310039	5.79304238504	2.3653298
1310170	11.0138899399	2.52615665
1310538	38.1403347467	4.81885005
1310783	8.58083724737	-3.8053822999999998
1326929	10.077975181	2.38931465
1344352	11.6282586011	0.59802876
1345019	12.3620845662	1.6366376500000002
1345326	20.0071310012	6.22714165
1345416	34.3627792323	8.11773
1345543	13.0776104101	4.9850005
1345591	9.74965931876	9.375405650000001
1345613	17.3763144493	10.056940999999998
1350467	7.04956724106	0.42347460000000003
1350468	14.095564709	-1.1247317675
1352644	9.91653139121	6.29982515
1355888	6.83437878004	3.36358925
1371496	11.7358430385	1.91977405
1396911	11.6443174046	2.7812479
1398325	20.093881685	2.93286845
1401303	12.9974195455	2.309616
1404057	10.4407304187	2.47901405
1404125	8.10256098115	8.64721475
1414015	9.75126271777	7.447724299999999
1487043	21.7653324364	3.3390616499999997
1507468	9.4278701742	3.7702748
1507469	9.34355583831	2.82003075
1513501	11.8680646184	6.385256500000001
1519549	7.62520907998	4.28254025
1595511	15.1029889991	5.9109575
1597946	8.03686380934	3.8471493
1616921	8.68386645363	4.289448
1646640	17.3807197588	7.05779685
1657666	7.208101684	1.07355775
1657829	13.0801838281	4.8975795
1678897	6.5945513618	2.18464757
1686611	10.4790522669	5.3951555
1688713	8.10962963702	3.9619247
1715692	5.83662994667	3.7927793
1718198	9.6414871153	5.66732525
1725372	8.63943978549	3.68250525
1729321	15.0722533769	4.0584166
1732068	5.95272195457	9.959814999999999
1734964	20.6820652309	9.768947
1735157	10.1371711671	4.6518902
1736204	13.8172086153	5.05371065
1739530	8.03971508027	6.457854
1751129	19.7010690199	8.1741565
1759815	8.20921676709	2.3772196
1760992	6.38360725687	4.584175
1761453	6.19063408357	-0.7598412750000001
1761544	9.68207231029	6.7007872
1761549	9.68207231029	3.7141296500000003
1761554	12.9383631015	4.7450796
1762206	11.2865029282	2.89976825
1768838	8.96028031922	5.8059435
1783448	7.72011849534	6.22110265
1789663	7.51241182325	2.23900655
1797873	7.26216394683	3.27842475
1800481	13.6408238937	5.48079485
1833870	9.37646298814	1.83325125
1841041	5.3238620855	3.3244077499999998
1841119	12.8230360721	2.1037107500000003
1842402	19.2435839917	2.38497235
1844052	12.4412874631	4.2551561499999995
1846300	8.20577025125	5.904722
1862650	5.93494057956	-3.87147165
1866871	9.1852796396	6.7276808500000005
1878010	19.7840385609	3.33380795
1900211	13.2378992647	9.2030945
1901672	7.83909915656	5.172769049999999
1904095	7.52491296194	2.36335075
1909130	13.662332341	1.6745070000000002
1909379	13.2116019421	-2.24107025
1909663	7.22979117642	-0.4858484500000001
1913341	9.52166649261	5.775203299999999
1924282	10.7994968418	6.65493425
1925405	7.41879849934	4.8655318
1926980	8.67498456619	7.5593828
1928521	6.08249871041	2.3657776999999998
1939034	5.83450499447	5.489630999999999
1942447	33.2021349066	1.696713235
1943218	8.43602907927	4.675514
1943707	8.19415035283	-1.6037277650000001
1946408	7.66457583822	4.84383885
1979750	12.6316154994	5.1787677
1993607	14.567266191	5.9046199999999995
1994423	11.9015563284	4.8949394
1994424	11.5518358751	4.44481445
2007904	19.3069422809	5.755441
2017845	10.7149498025	4.0413915000000005
2021995	40.234782934	5.13136235
2025933	10.2661324134	8.31125915
2028326	9.12470719642	-4.40217995
2029247	9.87470998228	1.2714365609999998
2058418	35.1363538908	2.3766574
2061694	10.2229624587	9.441578
2072063	18.3670174272	5.312894099999999
2076404	10.9757734378	8.898073
2090756	43.5566066315	7.154698
2095594	14.4294112001	9.264320999999999
2113136	6.59480455449	1.21977155
2113868	9.09701664126	2.2079234249999997
2141482	30.2580052715	1.295255475
2163578	10.4704600985	5.49928955
2172357	8.22491876777	5.3519378
2173917	9.65800999154	6.8969631
2186130	11.2345276147	2.19803975
2197365	8.99408421834	4.01327225
2225664	9.5806853047	7.831787500000001
2241446	12.3004354792	3.5916358500000003
2244056	13.3814309295	5.003966999999999
2246809	10.5983914183	0.64251925
2249391	12.4238913973	10.0141385
2279788	19.1957076572	6.0410632500000006
2280176	11.1183320564	4.372161999999999
2286625	10.7974916552	1.0312082
2289808	16.3000046455	2.54090475
2291718	39.049069181	4.506127599999999
2298353	6.79381804874	3.50538755
2307001	5.96214177287	7.71878615
2308989	9.91049168661	6.710090500000001
2309328	7.98156272195	5.1907350999999995
2330530	6.51268641396	6.954230600000001
2340044	18.8357781237	2.68660145
2359388	11.9913248686	4.84728635
2361536	11.5534120809	6.0559913
2363664	9.5127423894	2.2537459
2375648	10.5392919982	2.7409559999999997
2387240	14.1721303899	-2.9078635999999998
2395978	10.5167242685	5.00792125
2396983	6.76232167844	5.44807585
2399207	21.9998148005	3.6847681000000003
2399215	8.86878986241	6.64751625
2412877	8.28079264091	9.874646250000001
2412888	34.84446245	9.9664825
2415037	9.13319793023	3.0673644500000004
2423331	6.47243462419	1.52763815
2423829	15.3521026551	-1.1035805
2429931	8.37673772651	2.71707982
2431063	5.87647719794	2.41940835
2433875	9.66318656347	4.87932575
2435648	17.1114190083	6.98714
2436263	9.37030824428	4.66822485
2436654	11.2305084668	1.281898565
2437071	16.6223562858	-1.6447474999999998
2437548	18.4672508048	6.00968
2437641	7.30570215068	0.11922549999999998
2439152	7.95984178016	8.2516426
2442777	19.3002512098	2.9477093500000002
2454841	6.79265161275	1.02468002
2465956	8.31715538342	4.223250200000001
2468344	6.00013383599	6.971313950000001
2479636	21.411613203	6.2577715000000005
2493874	16.4684474953	1.5001393
2500827	7.90026440639	2.33608225
2508334	8.08567672859	0.387770675
2512708	17.0940309605	9.6561005
2514501	11.8482803959	5.9823318
2520758	18.305096879	5.00372635
2526549	13.730192281	2.19424245
2533921	13.5652115835	2.8303923500000003
2535166	9.59488531936	3.0777417
2535561	8.01662245928	6.8191521
2536384	13.0533808408	3.1219751999999996
2543684	15.4508077074	4.198100999999999
2544732	16.7534192938	1.51437105
2547221	6.84736246466	5.4124615
2547914	17.4778696927	6.4247415
2550462	17.8330101809	8.154181999999999
2552629	15.6216681198	7.11935725
2562289	10.7551450505	0.7316747299999999
2566574	8.98617365487	5.2973344
2568760	12.0546217738	9.469285750000001
2569091	8.16160710819	6.71734835
2571951	6.06282618795	9.3581375
2576865	7.36245121805	4.1780466
2593942	13.9503949243	0.58294203
2622212	12.0228628176	4.78971925
2627785	12.593104011	2.827168
2630299	10.4526926722	-1.1158661699999999
2632361	10.4599851136	5.34186875
2633176	32.2495383532	1.6876594825
