GeneID	Gene_name	Start	End	Strand	Expression	Gene_description	OperonID
Y75_p0001	thrL	190	255	+	941,3181818	thr operon leader peptide	173653
Y75_p0002	thrA	337	2799	+	12,31506293	fused aspartokinase I and homoserine dehydrogenase I	173653
Y75_p0003	thrB	2801	3733	+	8,013933548	homoserine kinase	173653
Y75_p0004	thrC	3734	5020	+	8,118881119	threonine synthase	173653
Y75_p0006	yaaA	5683	6459	-	9,50965251	hypothetical protein	173654
Y75_p0007	yaaJ	6529	7959	-	5,921733054	transporter	173654
Y75_p0008	talB	8238	9191	+	137,0031447	transaldolase B	173655
Y75_p0009	mog	9306	9893	+	35,42687075	molybdochelatase	173655
Y75_p0011	yaaW	10643	11356	-	4,700280112	hypothetical protein	173656
Y75_p0013	yaaI	11382	11786	-	2,864197531	hypothetical protein	173656
Y75_p0014	dnaK	12163	14079	+	49,81429317	chaperone Hsp70, co-chaperone with DnaJ	173657
Y75_p0015	dnaJ	14168	15298	+	35,08045977	chaperone Hsp40, co-chaperone with DnaK	173657
Y75_p0017	mokC	16751	16960	-	27,11428571	regulatory protein for HokC, overlaps CDS of hokC	173658
Y75_p0018	mokC	16751	16903	-	27,11428571	toxic membrane protein	173658
Y75_p0019	nhaA	17489	18655	+	17,24078835	sodium-proton antiporter	173659
Y75_p0020	nhaR	18715	19620	+	9,594922737	DNA-binding transcriptional activator	173659
Y75_p0024	yaaY	21181	21399	+	5,127853881	hypothetical protein	173661
Y75_p0025	ribF	21407	22348	+	46,13269639	bifunctional riboflavin kinase/FAD synthetase	173661
Y75_p0026	ileS	22391	25207	+	49,92900248	isoleucyl-tRNA synthetase	173661
Y75_p0027	lspA	25207	25701	+	100,3717172	prolipoprotein signal peptidase	173661
Y75_p0028	fkpB	25826	26275	+	53,41777778	FKBP-type peptidyl-prolyl cis-trans isomerase	173662
Y75_p0029	ispH	26277	27227	+	35,97371188	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	173662
Y75_p0030	rihC	27293	28207	+	2,73442623	ribonucleoside hydrolase 3	173662
Y75_p0032	carA	29651	30799	+	2,962576153	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	173663
Y75_p0033	carB	30817	34038	+	3,20918684	carbamoyl-phosphate synthase large subunit	173663
Y75_p0035	caiE	34781	35371	-	3,108291032	acyl transferase	173664
Y75_p0036	caiD	35377	36270	-	0,558524173	crotonobetainyl CoA hydratase	173664
Y75_p0037	caiC	36271	37839	-	2,700772201	crotonobetaine CoA ligase:carnitine CoA ligase	173664
Y75_p0038	caiB	37898	39115	-	2,480295567	crotonobetainyl CoA:carnitine CoA transferase	173664
Y75_p0039	caiA	39244	40386	-	8,693788276	crotonobetaine reductase subunit II, FAD-binding	173665
Y75_p0040	caiT	40417	41931	-	1,306930693	transporter	173665
Y75_p0041	fixA	42403	43173	+	0,609597925	electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain	173666
Y75_p0042	fixB	43188	44129	+	0,583864119	electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like	173666
Y75_p0043	fixC	44180	45466	+	0,435120435	oxidoreductase	173666
Y75_p0044	fixX	45463	45750	+	0,520833333	4Fe-4S ferredoxin-type protein	173666
Y75_p0045	yaaU	45807	47138	+	1,057807808	transporter	173666
Y75_p0046	kefF	47246	47776	+	3,080979284	flavoprotein subunit for the KefC potassium efflux system	173667
Y75_p0047	kefC	47769	49631	+	2,604401503	potassium:proton antiporter	173667
Y75_p0049	apaH	50380	51222	-	38,03084223	diadenosine tetraphosphatase	173668
Y75_p0050	apaG	51229	51606	-	127,6243386	protein associated with Co2+ and Mg2+ efflux	173668
Y75_p0051	ksgA	51609	52430	-	58,37712895	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	173668
Y75_p0052	pdxA	52427	53416	-	66,96767677	4-hydroxy-L-threonine phosphate dehydrogenase	173668
Y75_p0053	surA	53416	54702	-	73,85314685	peptidyl-prolyl cis-trans isomerase	173668
Y75_p0054	imp	54755	57109	-	69,68450106	exported protein required for envelope biosynthesis and integrity	173668
Y75_p0056	yabP	58474	59124	+	16,10050251	hypothetical protein	173669
Y75_p0057	yabQ	59121	59279	+	16,10050251	hypothetical protein	173669
Y75_p0058	rluA	59687	60346	-	20,95757576	pseudoruidine synthase	173670
Y75_p0059	hepA	60358	63264	-	13,65565875	RNA polymerase-associated helicase protein	173670
Y75_p0062	araA	66835	68337	-	2,060545576	L-arabinose isomerase	173671
Y75_p0063	araB	68348	70048	-	1,818930041	L-ribulokinase	173671
Y75_p0064	araC	70387	71265	+	32,0967008	DNA-binding transcriptional dual regulator	173672
Y75_p0065	yabI	71351	72115	+	62,20784314	inner membrane protein	173672
Y75_p0066	thiQ	72229	72927	-	27,91988555	thiamin transporter subunit	173673
Y75_p0067	thiP	72911	74521	-	7,466170081	thiamin ABC transporter membrane protein	173673
Y75_p0068	tbpA	74497	75480	-	8,316056911	thiamin transporter subunit	173673
Y75_p0071	leuD	78848	79453	-	14,16006601	3-isopropylmalate isomerase subunit	173674
Y75_p0072	leuC	79464	80864	-	2,880085653	3-isopropylmalate isomerase subunit, dehydratase component	173674
Y75_p0073	leuB	80867	81958	-	1,872710623	3-isopropylmalate dehydrogenase	173674
Y75_p0074	leuA	81958	83529	-	2,498727735	2-isopropylmalate synthase	173674
Y75_p0077	ilvI	85630	87354	+	5,767536232	acetolactate synthase III, large subunit	173675
Y75_p0078	ilvH	87357	87848	+	4,558943089	acetolactate synthase III, thiamin-dependent, small subunit	173675
Y75_p0080	mraZ	89634	90092	+	64,82570806	hypothetical protein	173676
Y75_p0081	mraW	90094	91035	+	43,65498938	SAM-dependent methyltransferase	173676
Y75_p0082	ftsL	91032	91397	+	118,9071038	membrane bound cell division protein at septum containing leucine zipper motif	173676
Y75_p0083	ftsI	91413	93179	+	67,20147142	transpeptidase involved in septal peptidoglycan synthesis	173676
Y75_p0084	murE	93166	94653	+	50,62634409	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	173676
Y75_p0085	murF	94650	96008	+	46,27667403	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	173676
Y75_p0086	mraY	96002	97084	+	45,60018467	phospho-N-acetylmuramoyl-pentapeptide transferase	173676
Y75_p0087	murD	97087	98403	+	37,90584662	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	173676
Y75_p0088	ftsW	98403	99647	+	39,78714859	integral membrane protein involved in stabilising FstZ ring during cell division	173676
Y75_p0089	murG	99644	100711	+	44,64325843	N-acetylglucosaminyl transferase	173676
Y75_p0090	murC	100765	102240	+	39,07181572	UDP-N-acetylmuramate:L-alanine ligase	173676
Y75_p0091	ddlB	102233	103153	+	59,24429967	D-Alanine:D-alanine ligase	173676
Y75_p0092	ftsQ	103155	103985	+	60,2322503	membrane anchored protein involved in growth of wall at septum	173676
Y75_p0093	ftsA	103982	105244	+	65,76880443	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	173676
Y75_p0094	ftsZ	105305	106456	+	61,78038194	GTP-binding tubulin-like cell division protein	173676
Y75_p0096	secM	107705	108217	+	125,9493177	regulator of secA translation	173677
Y75_p0097	secA	108279	110984	+	58,09682188	preprotein translocase subunit, ATPase that targets protein precursors to the SecYE core translocon	173677
Y75_p0099	yacG	111649	111846	-	27,6969697	hypothetical protein	173678
Y75_p0100	yacF	111856	112599	-	24,63037634	hypothetical protein	173678
Y75_p0101	coaE	112599	113219	-	20,78582931	dephospho-CoA kinase	173678
Y75_p0103	hofC	114522	115724	-	11,50540316	assembly protein in type IV pilin biogenesis, transmembrane protein	173679
Y75_p0104	hofB	115714	117099	-	6,16955267	hypothetical protein	173679
