GeneID	Gene_name	Start	End	Strand	Expression	Gene_description	OperonID
Y75_p3967	yjcP	4304165	4305631	-	0,792774369	outer membrane factor of efflux pump	174458
Y75_p2342	yfdX	2500335	2500970	-	0,79245283	hypothetical protein	1763499
Y75_p1671	ydiP	1781226	1782137	-	0,791666667	DNA-binding transcriptional regulator	1763267
Y75_p1673	ydiR	1783237	1784175	+	0,790202343	electron transfer flavoprotein, FAD-binding	173987
Y75_p3080	yhbU	3302462	3303457	+	0,789156627	peptidase, collagenase-like	174279
Y75_p2864	cmtB	3078665	3079108	-	0,788288288	PTS system mannitol-specific transporter subunit IIA	174232
Y75_p1664	ydiL	1773451	1773807	+	0,784313725	hypothetical protein	1763265
Y75_p1368	paaD	1458761	1459258	+	0,775100402	multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	173935
Y75_p2081	yehM	2210151	2212430	+	0,771929825	hypothetical protein	174066
Y75_p0982	rarA	1072509	1073309	-	0,770287141	hydrolase	173868
Y75_p1537	rem	1647487	1647738	-	0,76984127	hypothetical protein	1763207
Y75_p0354	tauA	384456	385418	+	0,769470405	taurine transporter subunit	173737
Y75_p1649	ydhY	1756687	1757313	-	0,768740032	4Fe-4S ferredoxin-type protein	173982
Y75_p4160	yjhB	4509860	4511077	+	0,765188834	transporter	174491
Y75_p1367	paaC	1458000	1458746	+	0,760374833	multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	173935
Y75_p4202	fimC	4550106	4550831	+	0,757575758	chaperone, periplasmic	174499
Y75_p2007	wcaL	2119166	2120386	-	0,756756757	glycosyl transferase	174052
Y75_p2602	ygaT	2788763	2789740	+	0,756646217	hypothetical protein	174174
Y75_p0506	ylbF	548850	549665	+	0,753676471	hypothetical protein	173772
Y75_p1365	paaA	1456763	1457692	+	0,752688172	multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	173935
Y75_p2642	srlB	2827140	2827511	+	0,752688172	PTS system glucitol/sorbitol-specific transporter subunit IIA	174184
Y75_p1417	ydcT	1515653	1516666	+	0,747534517	spermidine/putrescine transporter subunit	173942
Y75_p0980	ycdH	1071404	1071898	-	0,747474747	oxidoreductase, flavin:NADH component	173868
Y75_p1709	chbF	1819984	1821336	-	0,747228381	cryptic phospho-beta-glucosidase	173993
Y75_p0499	ybbY	539789	541090	+	0,74577573	uracil/xanthine transporter	173770
Y75_p1012	csgC	1106324	1106656	+	0,744744745	curli production protein	173874
Y75_p2367	xapA	2530613	2531446	-	0,743405276	purine nucleoside phosphorylase II	174122
Y75_p0438	glnK	471822	472160	+	0,740412979	nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB	173756
Y75_p1760	yeaI	1873221	1874696	+	0,738482385	diguanylate cyclase	1763306
Y75_p0503	allD	544538	545587	-	0,738095238	ureidoglycolate dehydrogenase	173771
Y75_p2124	rihB	2258701	2259642	-	0,737791932	ribonucleoside hydrolase 2	1763436
Y75_p2013	wcaI	2127782	2129005	-	0,735294118	glycosyl transferase	174053
Y75_p0974	yccE	1065580	1066836	+	0,731901352	hypothetical protein	1762979
Y75_p2787	ygeI	2993416	2993634	+	0,730593607	hypothetical protein	1763638
Y75_p1670	ydiO	1780032	1781183	+	0,730034722	acyl-CoA dehydrogenase	173986
Y75_p0981	ycdI	1071909	1072499	-	0,727580372	oxidoreductase	173868
Y75_p2862	yggP	3075957	3077234	-	0,726917058	dehydrogenase	174232
