Interval type	Start	End	BIME len	Cfx (number of GCSs)	RifCfx (number of GCSs)	Micro (number of GCSs)	Oxo (number of GCSs)	sum
BIMEs2	3393054	3393361	307	35	13	3	10	61
BIMEs2	2308874	2309528	654	11	7	2	5	25
BIMEs2	764307	764473	166	6	4	0	5	15
BIMEs2	2662088	2662353	265	3	6	0	4	13
BIMEs2	4223149	4223280	131	8	2	0	2	12
BIMEs2	2352953	2353155	202	2	3	0	3	8
BIMEs2	3543085	3543486	401	4	2	1	0	7
BIMEs2	66566	66813	247	3	3	0	0	6
BIMEs2	1947056	1947182	126	2	2	0	2	6
BIMEs2	2149860	2149943	83	2	2	0	2	6
BIMEs2	3581247	3581331	84	2	0	1	2	5
BIMEs2	4490136	4490219	83	2	1	0	2	5
BIMEs2	3082469	3082615	146	0	2	0	2	4
BIMEs2	3610200	3610480	280	0	1	0	3	4
BIMEs2	374155	374590	435	3	0	0	0	3
BIMEs2	2437498	2437581	83	0	2	1	0	3
BIMEs2	3475640	3475661	21	1	1	0	1	3
BIMEs2	4254034	4254158	124	3	0	0	0	3
BIMEs2	507807	508042	235	2	0	0	0	2
BIMEs2	1969159	1969221	62	2	0	0	0	2
BIMEs2	2834846	2834927	81	1	1	0	0	2
BIMEs2	2894587	2894653	66	1	1	0	0	2
BIMEs2	3297977	3298060	83	1	0	0	1	2
BIMEs2	3680893	3680918	25	1	0	0	1	2
BIMEs2	4128937	4129026	89	1	0	0	1	2
BIMEs2	4331603	4332185	582	0	2	0	0	2
BIMEs2	4440299	4440409	110	0	0	0	2	2
BIMEs2	4456747	4456831	84	2	0	0	0	2
BIMEs2	248148	248335	187	1	0	0	0	1
BIMEs2	410303	410493	190	1	0	0	0	1
BIMEs2	550578	550734	156	0	1	0	0	1
BIMEs2	1118326	1118352	26	0	0	0	1	1
BIMEs2	1391109	1391133	24	0	0	0	1	1
BIMEs2	2121726	2121911	185	0	0	0	1	1
BIMEs2	2686814	2686833	19	0	0	0	1	1
BIMEs2	3098192	3098312	120	1	0	0	0	1
BIMEs2	3202923	3203047	124	0	0	0	1	1
BIMEs2	3314230	3314306	76	1	0	0	0	1
BIMEs2	3596903	3596938	35	1	0	0	0	1
BIMEs2	4240134	4240210	76	0	0	0	1	1
BIMEs2	4323718	4323800	82	0	0	0	1	1
BIMEs2	4462988	4463071	83	1	0	0	0	1
BIMEs2	25711	25796	85	0	0	0	0	0
BIMEs2	34728	34763	35	0	0	0	0	0
BIMEs2	39152	39233	81	0	0	0	0	0
BIMEs2	50328	50364	36	0	0	0	0	0
BIMEs2	72137	72221	84	0	0	0	0	0
BIMEs2	129348	129362	14	0	0	0	0	0
BIMEs2	141979	141999	20	0	0	0	0	0
BIMEs2	167282	167306	24	0	0	0	0	0
BIMEs2	173505	173589	84	0	0	0	0	0
BIMEs2	176970	176988	18	0	0	0	0	0
BIMEs2	213633	213669	36	0	0	0	0	0
BIMEs2	244130	244264	134	0	0	0	0	0
BIMEs2	247459	247542	83	0	0	0	0	0
BIMEs2	254218	254245	27	0	0	0	0	0
BIMEs2	258241	258261	20	0	0	0	0	0
BIMEs2	376560	376746	186	0	0	0	0	0
BIMEs2	398205	398239	34	0	0	0	0	0
BIMEs2	408277	408313	36	0	0	0	0	0
BIMEs2	408300	408313	13	0	0	0	0	0
BIMEs2	421597	421629	32	0	0	0	0	0
BIMEs2	430193	430290	97	0	0	0	0	0
BIMEs2	436345	436381	36	0	0	0	0	0
BIMEs2	442243	442274	31	0	0	0	0	0
BIMEs2	444425	444511	86	0	0	0	0	0
BIMEs2	464038	464062	24	0	0	0	0	0
BIMEs2	473496	473518	22	0	0	0	0	0
BIMEs2	496226	496251	25	0	0	0	0	0
BIMEs2	497141	497158	17	0	0	0	0	0
BIMEs2	500669	500752	83	0	0	0	0	0
BIMEs2	505801	505820	19	0	0	0	0	0
BIMEs2	516594	516619	25	0	0	0	0	0
BIMEs2	555231	555256	25	0	0	0	0	0
BIMEs2	653776	653798	22	0	0	0	0	0
BIMEs2	683230	683259	29	0	0	0	0	0
BIMEs2	688295	688319	24	0	0	0	0	0
BIMEs2	690809	690842	33	0	0	0	0	0
BIMEs2	697852	697922	70	0	0	0	0	0
BIMEs2	707442	707477	35	0	0	0	0	0
BIMEs2	712453	712485	32	0	0	0	0	0
BIMEs2	788280	788314	34	0	0	0	0	0
BIMEs2	821303	821329	26	0	0	0	0	0
BIMEs2	837767	837790	23	0	0	0	0	0
BIMEs2	839084	839206	122	0	0	0	0	0
BIMEs2	865878	865915	37	0	0	0	0	0
BIMEs2	883485	883511	26	0	0	0	0	0
BIMEs2	902294	902380	86	0	0	0	0	0
BIMEs2	912692	912717	25	0	0	0	0	0
BIMEs2	938769	938804	35	0	0	0	0	0
BIMEs2	1013464	1013492	28	0	0	0	0	0
BIMEs2	1029911	1029934	23	0	0	0	0	0
BIMEs2	1042088	1042123	35	0	0	0	0	0
BIMEs2	1043530	1043563	33	0	0	0	0	0
BIMEs2	1063952	1064085	133	0	0	0	0	0
BIMEs2	1076430	1076457	27	0	0	0	0	0
BIMEs2	1082657	1082690	33	0	0	0	0	0
BIMEs2	1086227	1086312	85	0	0	0	0	0
BIMEs2	1102185	1102203	18	0	0	0	0	0
BIMEs2	1120568	1120588	20	0	0	0	0	0
BIMEs2	1148628	1148702	74	0	0	0	0	0
BIMEs2	1168439	1168513	74	0	0	0	0	0
BIMEs2	1170102	1170131	29	0	0	0	0	0
BIMEs2	1189783	1189806	23	0	0	0	0	0
BIMEs2	1193280	1193302	22	0	0	0	0	0
BIMEs2	1250358	1250388	30	0	0	0	0	0
BIMEs2	1289294	1289365	71	0	0	0	0	0
BIMEs2	1330574	1330592	18	0	0	0	0	0
BIMEs2	1360196	1360229	33	0	0	0	0	0
BIMEs2	1360607	1360636	29	0	0	0	0	0
BIMEs2	1385704	1385777	73	0	0	0	0	0
BIMEs2	1413770	1413806	36	0	0	0	0	0
BIMEs2	1492520	1492541	21	0	0	0	0	0
BIMEs2	1511628	1511660	32	0	0	0	0	0
BIMEs2	1537720	1537794	74	0	0	0	0	0
BIMEs2	1545471	1545499	28	0	0	0	0	0
BIMEs2	1559900	1559918	18	0	0	0	0	0
BIMEs2	1595468	1595492	24	0	0	0	0	0
BIMEs2	1660725	1660745	20	0	0	0	0	0
BIMEs2	1667973	1668003	30	0	0	0	0	0
BIMEs2	1736551	1736574	23	0	0	0	0	0
BIMEs2	1738820	1738893	73	0	0	0	0	0
BIMEs2	1846561	1846653	92	0	0	0	0	0
BIMEs2	1855399	1855434	35	0	0	0	0	0
BIMEs2	1867590	1867610	20	0	0	0	0	0
BIMEs2	1871729	1871767	38	0	0	0	0	0
BIMEs2	1932760	1932843	83	0	0	0	0	0
BIMEs2	1934923	1934941	18	0	0	0	0	0
BIMEs2	1941936	1941965	29	0	0	0	0	0
BIMEs2	2044412	2044445	33	0	0	0	0	0
BIMEs2	2100497	2100526	29	0	0	0	0	0
BIMEs2	2142962	2142998	36	0	0	0	0	0
BIMEs2	2154934	2154961	27	0	0	0	0	0
BIMEs2	2168277	2168356	79	0	0	0	0	0
BIMEs2	2172910	2172943	33	0	0	0	0	0
BIMEs2	2181865	2181941	76	0	0	0	0	0
BIMEs2	2224082	2224115	33	0	0	0	0	0
BIMEs2	2228362	2228389	27	0	0	0	0	0
BIMEs2	2230842	2230925	83	0	0	0	0	0
BIMEs2	2237193	2237226	33	0	0	0	0	0
BIMEs2	2240991	2241140	149	0	0	0	0	0
BIMEs2	2260495	2260531	36	0	0	0	0	0
BIMEs2	2287344	2287377	33	0	0	0	0	0
BIMEs2	2321405	2321440	35	0	0	0	0	0
BIMEs2	2346106	2346187	81	0	0	0	0	0
BIMEs2	2354574	2354609	35	0	0	0	0	0
BIMEs2	2398924	2398959	35	0	0	0	0	0
BIMEs2	2415361	2415379	18	0	0	0	0	0
BIMEs2	2416065	2416083	18	0	0	0	0	0
BIMEs2	2446912	2446947	35	0	0	0	0	0
BIMEs2	2450358	2450437	79	0	0	0	0	0
BIMEs2	2517921	2518008	87	0	0	0	0	0
BIMEs2	2528107	2528135	28	0	0	0	0	0
BIMEs2	2546176	2546211	35	0	0	0	0	0
BIMEs2	2561761	2561784	23	0	0	0	0	0
BIMEs2	2567918	2568100	182	0	0	0	0	0
BIMEs2	2581427	2581495	68	0	0	0	0	0
BIMEs2	2592757	2592839	82	0	0	0	0	0
BIMEs2	2597452	2597497	45	0	0	0	0	0
BIMEs2	2617747	2617783	36	0	0	0	0	0
BIMEs2	2673555	2673588	33	0	0	0	0	0
BIMEs2	2717237	2717262	25	0	0	0	0	0
BIMEs2	2738694	2738717	23	0	0	0	0	0
BIMEs2	2793807	2793942	135	0	0	0	0	0
BIMEs2	2797832	2797861	29	0	0	0	0	0
BIMEs2	2807910	2807993	83	0	0	0	0	0
BIMEs2	2828340	2828368	28	0	0	0	0	0
BIMEs2	2837244	2837270	26	0	0	0	0	0
BIMEs2	2842202	2842280	78	0	0	0	0	0
BIMEs2	2856205	2856228	23	0	0	0	0	0
BIMEs2	2866258	2866275	17	0	0	0	0	0
BIMEs2	2888113	2888149	36	0	0	0	0	0
BIMEs2	2931596	2931625	29	0	0	0	0	0
BIMEs2	2937205	2937228	23	0	0	0	0	0
BIMEs2	2944773	2944806	33	0	0	0	0	0
BIMEs2	2980512	2980534	22	0	0	0	0	0
BIMEs2	3042100	3042254	154	0	0	0	0	0
BIMEs2	3044892	3044919	27	0	0	0	0	0
BIMEs2	3060439	3060459	20	0	0	0	0	0
BIMEs2	3087691	3087716	25	0	0	0	0	0
BIMEs2	3093745	3093869	124	0	0	0	0	0
BIMEs2	3101475	3101553	78	0	0	0	0	0
BIMEs2	3114157	3114324	167	0	0	0	0	0
BIMEs2	3119340	3119366	26	0	0	0	0	0
BIMEs2	3139400	3139482	82	0	0	0	0	0
BIMEs2	3163423	3163452	29	0	0	0	0	0
BIMEs2	3181369	3181392	23	0	0	0	0	0
BIMEs2	3209278	3209297	19	0	0	0	0	0
BIMEs2	3214671	3214703	32	0	0	0	0	0
BIMEs2	3216380	3216457	77	0	0	0	0	0
BIMEs2	3217213	3217301	88	0	0	0	0	0
BIMEs2	3220659	3220689	30	0	0	0	0	0
BIMEs2	3231031	3231313	282	0	0	0	0	0
BIMEs2	3233478	3233498	20	0	0	0	0	0
BIMEs2	3234417	3234502	85	0	0	0	0	0
BIMEs2	3252462	3252484	22	0	0	0	0	0
BIMEs2	3254996	3255098	102	0	0	0	0	0
BIMEs2	3278797	3278825	28	0	0	0	0	0
BIMEs2	3282680	3282761	81	0	0	0	0	0
BIMEs2	3305482	3305510	28	0	0	0	0	0
BIMEs2	3337897	3337930	33	0	0	0	0	0
BIMEs2	3484110	3484455	345	0	0	0	0	0
BIMEs2	3489291	3489372	81	0	0	0	0	0
BIMEs2	3505422	3505455	33	0	0	0	0	0
BIMEs2	3522096	3522125	29	0	0	0	0	0
BIMEs2	3527074	3527092	18	0	0	0	0	0
BIMEs2	3534212	3534295	83	0	0	0	0	0
BIMEs2	3535081	3535106	25	0	0	0	0	0
BIMEs2	3549701	3549721	20	0	0	0	0	0
BIMEs2	3557685	3557782	97	0	0	0	0	0
BIMEs2	3574209	3574283	74	0	0	0	0	0
BIMEs2	3584189	3584272	83	0	0	0	0	0
BIMEs2	3622458	3622480	22	0	0	0	0	0
BIMEs2	3629372	3629405	33	0	0	0	0	0
BIMEs2	3675067	3675102	35	0	0	0	0	0
BIMEs2	3727325	3727359	34	0	0	0	0	0
BIMEs2	3729352	3729415	63	0	0	0	0	0
BIMEs2	3739146	3739171	25	0	0	0	0	0
BIMEs2	3754730	3754758	28	0	0	0	0	0
BIMEs2	3787789	3787824	35	0	0	0	0	0
BIMEs2	3799592	3799660	68	0	0	0	0	0
BIMEs2	3809332	3809358	26	0	0	0	0	0
BIMEs2	3826418	3826439	21	0	0	0	0	0
BIMEs2	3831203	3831224	21	0	0	0	0	0
BIMEs2	3859810	3859838	28	0	0	0	0	0
BIMEs2	3864439	3864472	33	0	0	0	0	0
BIMEs2	3886595	3886676	81	0	0	0	0	0
BIMEs2	3905212	3905382	170	0	0	0	0	0
BIMEs2	3933179	3933264	85	0	0	0	0	0
BIMEs2	3961094	3961169	75	0	0	0	0	0
BIMEs2	3967063	3967155	92	0	0	0	0	0
BIMEs2	4050538	4050603	65	0	0	0	0	0
BIMEs2	4085718	4085741	23	0	0	0	0	0
BIMEs2	4093564	4093650	86	0	0	0	0	0
BIMEs2	4095280	4095315	35	0	0	0	0	0
BIMEs2	4101758	4101791	33	0	0	0	0	0
BIMEs2	4136716	4136751	35	0	0	0	0	0
BIMEs2	4147754	4147779	25	0	0	0	0	0
BIMEs2	4152579	4152634	55	0	0	0	0	0
BIMEs2	4156144	4156165	21	0	0	0	0	0
BIMEs2	4234089	4234158	69	0	0	0	0	0
BIMEs2	4244870	4244906	36	0	0	0	0	0
BIMEs2	4249805	4249930	125	0	0	0	0	0
BIMEs2	4273030	4273053	23	0	0	0	0	0
BIMEs2	4290015	4290091	76	0	0	0	0	0
BIMEs2	4316815	4316896	81	0	0	0	0	0
BIMEs2	4329047	4329133	86	0	0	0	0	0
BIMEs2	4337815	4337846	31	0	0	0	0	0
BIMEs2	4391822	4391841	19	0	0	0	0	0
BIMEs2	4421761	4421794	33	0	0	0	0	0
BIMEs2	4437092	4437116	24	0	0	0	0	0
BIMEs2	4466218	4466301	83	0	0	0	0	0
BIMEs2	4484742	4484775	33	0	0	0	0	0
BIMEs2	4486740	4486757	17	0	0	0	0	0
BIMEs2	4494308	4494343	35	0	0	0	0	0
BIMEs2	4542208	4542233	25	0	0	0	0	0
BIMEs2	4593675	4593701	26	0	0	0	0	0
BIMEs2	4599129	4599154	25	0	0	0	0	0
BIMEs2	4602900	4602938	38	0	0	0	0	0
BIMEs2	4612361	4612452	91	0	0	0	0	0
BIMEs2	4620060	4620447	387	0	0	0	0	0
BIMEs2	4623920	4624001	81	0	0	0	0	0
BIMEs2	4638894	4639033	139	0	0	0	0	0
